,numbers,cleaned_income_range,proportion,income_distribution,weight
0,1,<200,0.12295081967213115,0.215,1.7486666666666666
1,2, 200 to 400,0.23770491803278687,0.273,1.1484827586206898
2,3, 400 to 600,0.26229508196721313,0.192,0.732
3,4, 600 to 800,0.19672131147540983,0.12100000000000001,0.6150833333333334
4,5, 800 to 1000,0.10655737704918032,0.08299999999999999,0.7789230769230768
5,6, 1000 to 1200,0.00819672131147541,0.049,5.978
6,7,1200 to 1500,0.05737704918032787,0.036000000000000004,0.6274285714285714
7,8,>1500,0.00819672131147541,0.032,3.904
